Description Size Rarity Temperament Intelligence Cuteness
AfghanHound 6 9 3 2 5
BassetHound 5 6 5 3 6
Beagle 3 3 8 3 7
BorderCollie 5 1 8 10 8
BorderTerrier 2 1 9 7 6
BostonTerrier 2 4 7 5 7
Boxer 7 6 7 6 7
Bulldog 5 5 7 2 8
Chihuahua 1 4 2 3 5
ChowChow 6 9 2 2 7
CockerSpaniel 3 2 9 8 9
Corgi 3 5 8 8 9
Dachshund 2 3 5 5 8
Dalmatian 6 6 4	6 7
Doberman 8 7 3 9 5
FrenchBulldog 3 3 8 4 9
GermanShepherd 8 3 6 10 9
GoldenRetriever 7 2 10 9 10
GreatDane 9 7 4 6 7
Greyhound 7 2 6 6 8
Husky 7 5 5 6 7
JackRussell 2 3 2 6 5
Labrador 7 1 7 9 7
Maltese 1 4 6 4 7
MiniatureSchnauzer 3 3 6 8 7
Newfoundland 10 8 9 7 10
Papillon 1 7 6 9 9
Pekingese 1 5 4 3 6
Pomeranian 1 4 5 7 8
Poodle 6 1 9 10 8
Pug 2 3 9 4 9
Rottweiler 9 6 5 9 6
RoughCollie 5 4 8 8 9
SaintBernard 10 8 10 4 10
Samoyed	5 7 7 7 10
SharPei 5 8 4 5 8
ShibaInu 2 7 3 5 8
ShihTzu 2 2 6 3 10
Staffie 4 2 8 7 9
YorkshireTerrier 1 2 3 7 5
