Description Size Speed Range Firepower Cargo
AA 1 9 2 3 0
BB 2 5 4 3 2
CC 6 2 10 4 6
DD 4 5 7 3 4
EE 1 3 2 4 0
FF 2 5 3 4 1
GG 2 5 3 5 0
HH 8 2 7 10 6
II 1 10 2 2 0
JJ 7 3 5 6 8
KK 10 1 6 2 9
LL 2 7 2 5 0
MM 3 4 5 5 2
NN 1 9 2 3 0
OO 2 5 4 3 2
PP 6 2 10 4 6
QQ 4 5 7 3 4
RR 1 3 2 4 0
SS 2 5 3 4 1
TT 2 5 3 5 0
UU 8 2 7 10 6
VV 1 10 2 2 0
WW 7 3 5 6 8
XX 10 1 6 2 9
YY 2 7 2 5 0
ZZ 3 4 5 5 2
AAA 1 9 2 3 0
BBB 2 5 4 3 2
CCC 6 2 10 4 6
DDD 4 5 7 3 4
EEE 1 3 2 4 0
FFF 2 5 3 4 1
GGG 2 5 3 5 0
HHH 8 2 7 10 6
III 1 10 2 2 0
JJJ 7 3 5 6 8
KKK 10 1 6 2 9
LLL 2 7 2 5 0
MMM 3 4 5 5 2
NNN 2 5 4 3 2
